# t	y(t)	sigma_t
-1.00000000e+01	-3.56193214e-02	3.66919072e-03
-9.89949749e+00	3.76886012e-02	3.59632305e-03
-9.79899497e+00	-2.22477851e-03	3.27466292e-03
-9.69849246e+00	2.25911150e-02	3.03730266e-03
-9.59798995e+00	6.72557444e-02	3.96026656e-03
-9.49748744e+00	2.66177643e-02	6.06099515e-03
-9.39698492e+00	6.75105402e-02	3.47279664e-03
-9.29648241e+00	4.30620728e-02	4.14919006e-03
-9.19597990e+00	7.39362571e-02	4.27273902e-03
-9.09547739e+00	-5.22662821e-02	3.11405703e-03
-8.99497487e+00	-3.94460958e-02	3.34636415e-03
-8.89447236e+00	-6.30759348e-02	4.39586123e-03
-8.79396985e+00	2.81479965e-02	4.54871591e-03
-8.69346734e+00	-1.21589948e-02	3.01618392e-03
-8.59296482e+00	4.56964773e-02	3.41889733e-03
-8.49246231e+00	1.58796982e-02	3.36042965e-03
-8.39195980e+00	6.38076451e-03	3.10551555e-03
-8.29145729e+00	1.07539125e-01	3.99075264e-03
-8.19095477e+00	3.03399496e-02	4.64731862e-03
-8.09045226e+00	-1.30607195e-03	3.54174201e-03
-7.98994975e+00	-4.91667223e-02	3.73218039e-03
-7.88944724e+00	5.95876395e-02	3.84235970e-03
-7.78894472e+00	4.77077583e-02	3.86672824e-03
-7.68844221e+00	-5.42755477e-02	4.73508996e-03
-7.58793970e+00	-7.15547524e-03	3.07928664e-03
-7.48743719e+00	1.20247740e-02	3.32566317e-03
-7.38693467e+00	-8.17895856e-02	4.07552284e-03
-7.28643216e+00	-1.37005998e-02	4.31535523e-03
-7.18592965e+00	7.02186419e-02	3.31519182e-03
-7.08542714e+00	-8.04364698e-02	3.42612807e-03
-6.98492462e+00	2.49388020e-02	3.01657963e-03
-6.88442211e+00	9.51256134e-02	3.09690718e-03
-6.78391960e+00	-3.04466910e-02	3.14021974e-03
-6.68341709e+00	-2.19468996e-02	4.31712998e-03
-6.58291457e+00	1.17812447e-02	3.48014505e-03
-6.48241206e+00	2.68283128e-02	4.73912040e-03
-6.38190955e+00	2.12191578e-02	3.84598130e-03
